owner,repo,github_stars,download_count,experimental_ai_generated_description,risk_category,adjusted_risk_score,popularity_score,doc_quality_score,doc_quality_adjustment,readme_found,has_installation_docs,has_usage_docs,has_api_reference,has_security_docs,has_error_handling,has_cli_docs,has_code_examples,has_screenshots,has_license_info,readme_size_bytes,headings_count,code_blocks_count,readability_score,missing_sections,oauth_implementation,direct_api_tokens,main_risk_factors,outbound_connections
razorpay,razorpay-mcp-server,141,0,"Razorpay MCP Server provides a bridge between AI assistants and Razorpay's payment processing APIs, enabling seamless integration for payment operations. Built with Go, it exposes tools for managing payments, payment links, and orders through a clean abstraction layer over the Model Context Protocol. The server supports multiple transport mechanisms, features comprehensive logging, and includes a read-only mode for enhanced security. It's containerized for easy deployment in various environments including Claude Desktop and VS Code, making it particularly valuable for developers building AI-powered applications that need to interact with Razorpay's payment ecosystem without writing complex integration code.",MINIMAL,1.08,1.3,7.3,-2.19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4875,16,4,3.5,,No,No,,
mamertofabian,mcp-everything-search,140,19081,"This MCP server, developed by Mamerto Fabian, enables AI assistants to perform fast file searches using the Everything SDK on Windows systems. It provides a tool for executing complex file queries with support for wildcards, boolean operators, and various search criteria like file size, dates, and attributes. The server abstracts the Everything SDK's functionality, offering a simplified interface for AI systems to locate files and retrieve metadata. By connecting AI capabilities with Everything's ultra-fast file indexing, this implementation empowers AI assistants to quickly find and analyze files across entire drives. It is particularly useful for applications requiring rapid file discovery, system analysis, or any scenario where an AI system needs to efficiently locate and reason about files on a Windows machine.",MINIMAL,1.68,1.9,7.4,-2.22,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6731,20,16,5.0,,No,No,,
egoist,fetch-mcp,139,16669,"Fetch-MCP provides a server for retrieving web content and YouTube video transcripts through two specialized tools. The implementation fetches URLs and converts HTML to Markdown by default, with options to return raw HTML or limit content length. It also extracts YouTube video transcripts with timestamps, making it useful for AI assistants that need to reference web content or video information. Built with TypeScript using the Model Context Protocol SDK, it supports both stdio and SSE server modes for flexible integration options.",MINIMAL,1.77,1.9,4.3,-1.29,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,544,10,1,5.0,installation; configuration; error_handling; project_info,No,No,,
manusa,kubernetes-mcp-server,139,0,"Powerful and flexible Kubernetes MCP server implementation.
Provides features to perform both, low-level and high-level operations on Kubernetes and OpenShift.
Lower level features include performing CRUD operations on any Kubernetes or OpenShift resource.
Higher level features include abstractions to run and deploy container images and exposing them. This is helpful for smaller models which don't have enough context to generate complete and valid Kubernetes resources.",MINIMAL,1.07,1.3,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13282,39,7,5.0,,No,No,,
semgrep,mcp,138,0,"Semgrep MCP Server provides a comprehensive interface to Semgrep's static analysis capabilities through the Model Context Protocol, enabling AI assistants to scan code for security vulnerabilities and coding issues. Built by Semgrep, Inc., it offers tools for scanning individual code snippets or entire directories, creating custom rules, analyzing results by severity, and filtering findings. The server is containerized with Docker for easy deployment and can be integrated with Cursor as a plugin, making it valuable for developers who want to leverage Semgrep's security analysis capabilities directly within their AI assistant workflows without leaving their coding environment.",MINIMAL,1.09,1.3,7.0,-2.1,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,15240,35,19,3.5,error_handling; license,No,No,,
elsejj,mcp-cn-a-stock,137,0,"A specialized MCP server for Chinese stock market data analysis, providing tools to retrieve detailed stock information across different levels of depth (brief, medium, full). Built to integrate with a custom data feed system, it enables AI assistants to fetch comprehensive stock data including basic metrics, trading information, financial details, and technical analysis through a standardized interface.",MINIMAL,1.23,1.3,2.3,-0.69,Yes,No,No,No,No,No,No,No,Yes,No,829,9,0,3.5,installation; usage; configuration; api_reference; error_handling; license; project_info,No,No,,
mem0ai,mem0-mcp,136,0,"Mem0-MCP provides a structured approach for managing coding preferences through an MCP server that integrates with mem0.ai. Built with Python using the FastMCP framework, it offers three main tools: adding coding preferences with comprehensive context, retrieving all stored preferences, and semantically searching through preferences to find relevant code implementations, solutions, and documentation. The server runs as a persistent process that agents can connect to via SSE, making it ideal for cloud-native environments where server and clients operate as decoupled processes. This implementation is particularly valuable for developers using Cursor who need efficient storage and retrieval of code snippets and programming knowledge.",MINIMAL,1.0,1.3,6.8,-2.04,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,2587,8,7,3.5,license,No,Yes,,
jsonallen,perplexity-mcp,135,24202,"This Perplexity MCP server, developed by Jason Allen, provides AI assistants with web search capabilities using the Perplexity AI API. Built with Python using libraries like aiohttp and pydantic, it offers a streamlined interface for performing web searches and retrieving results. The server implements environment-based configuration for API key management and uses the Model Context Protocol to standardize interactions. By abstracting the complexities of API communication, it enables AI systems to easily incorporate up-to-date web information into their workflows. This implementation is particularly valuable for applications requiring real-time access to web data, facilitating use cases such as fact-checking, research assistance, and information retrieval across various domains.",MINIMAL,1.6,1.9,6.7,-2.01,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3995,16,4,5.0,error_handling,No,Yes,,https://api.perplexity.ai/chat/completions
nickclyde,duckduckgo-mcp-server,134,84878,"This MCP server implementation provides web search capabilities through DuckDuckGo, with additional features for content fetching and parsing. Developed by Nick Clyde, it offers tools for performing web searches and retrieving webpage content, with built-in rate limiting and error handling. The server is designed to format results specifically for large language model consumption, making it particularly useful for AI applications that require up-to-date web information. It includes features like intelligent text extraction, comprehensive error logging, and LLM-friendly output formatting. The implementation is built using Python and integrates with the Model Context Protocol, focusing on ease of use within the Claude Desktop environment.",MINIMAL,1.88,2.1,7.2,-2.16,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3568,19,6,5.0,,No,No,,
mshojaei77,reactmcp,133,0,"ReActMCP Web Search integrates Exa API's web search capabilities into AI assistant frameworks through the Model Context Protocol. It provides both basic and advanced search tools with filtering options for domains, text requirements, and date ranges, returning markdown-formatted results with titles, URLs, publication dates, and content summaries. Built with Python using the FastMCP framework, this implementation is particularly valuable for workflows requiring real-time internet information within AI conversations, allowing users to access current data without leaving their conversation interface.",MINIMAL,1.03,1.3,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7818,20,9,5.0,,No,Yes,,
cyanheads,atlas-mcp-server,132,0,"ATLAS, developed by cyanheads, is a Model Context Protocol server that provides hierarchical task management capabilities to Large Language Models. It enables AI assistants to break down complex projects into manageable tasks, track progress, and maintain dependencies within an organized structure. The server implements rich content support, including markdown documentation, code snippets, and structured reasoning documentation. ATLAS stands out by offering a comprehensive task management system tailored for AI-driven project planning and execution. It is particularly useful for applications requiring sophisticated task organization, collaborative AI workflows, or any scenario where an AI system needs to manage and reason about complex, multi-step processes.",MINIMAL,1.17,1.3,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,21555,35,10,3.5,,Yes,No,Found pattern: collect.*data; Found pattern: tracking,https://community.datasync.dev; https://apps.apple.com/us/app/ecotrack; https://github.com/cyanheads/ecotrack-app; https://github.com/cyanheads/codementor-platform; https://codementor.dev
formulahendry,mcp-server-code-runner,131,3053,"Code Runner MCP Server enables AI assistants to execute code snippets in multiple programming languages directly within conversations. Built by Jun Han, it supports over 30 languages including JavaScript, Python, Ruby, Go, and more by creating temporary files and executing them with the appropriate interpreter. The server is designed for easy integration with VS Code and Claude Desktop through simple configuration, making it ideal for demonstrating code examples, testing algorithms, or exploring system information without leaving the conversation interface.",MINIMAL,1.32,1.5,6.0,-1.8,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,5389,11,5,5.0,error_handling; project_info,No,No,,
g0t4,mcp-server-commands,130,9002,"This MCP server, developed by g0t4, enables AI assistants to execute system commands and run scripts on the host machine. It provides tools for running individual shell commands and executing multi-line scripts in various languages like bash, fish, and Python. Built in JavaScript, the implementation exposes local system functionality via a standardized MCP interface, allowing Claude to interact directly with the host operating system. By bridging AI models with the local command line, this server enhances Claude's ability to perform system administration tasks, automate workflows, and execute code snippets. It is particularly useful for developers and power users seeking AI-powered assistance with command-line operations, scripting, and system automation tasks. The implementation emphasizes security, recommending careful review of commands before execution.",MINIMAL,1.5,1.7,6.7,-2.01,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2992,9,6,5.0,project_info,No,No,,
quantgeekdev,mongo-mcp,128,10739,"This MongoDB MCP server, developed by QuantGeekDev, enables AI assistants to interact directly with MongoDB databases through natural language. Built with TypeScript, it provides tools for querying collections, inspecting schemas, managing indexes, and performing document operations. The server leverages MongoDB's flexible document model and powerful query capabilities, allowing AI models to explore and manipulate complex data structures. By bridging natural language processing with MongoDB's features, this implementation extends AI capabilities for tasks like data analysis, content management, and database administration. It is particularly useful for scenarios requiring dynamic data exploration, schema inference, and performing database operations in response to natural language queries.",MINIMAL,1.68,1.9,7.4,-2.22,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4251,22,9,5.0,error_handling,No,No,,
domdomegg,airtable-mcp-server,127,14982,"This MCP server, developed by domdomegg, enables AI assistants like Claude to interact with Airtable databases. Built in TypeScript, it provides capabilities for querying and modifying Airtable bases, tables, fields, and records through a standardized interface. The implementation stands out by offering full read/write access to Airtable's rich data model and metadata. By connecting AI capabilities with structured data in Airtable, this server allows AI systems to analyze, manipulate, and act on user-defined datasets. It is particularly useful for automating data entry workflows, building AI-powered data analysis tools, or creating natural language interfaces to Airtable-based applications.",MINIMAL,1.6,1.9,6.8,-2.04,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,6742,7,1,3.5,error_handling,No,Yes,,
fengin,image-gen-server,127,0,"This MCP server, developed by an unknown author, provides a lightweight implementation for handling MCP requests. Built with Python and leveraging the aiohttp and aiofiles libraries, it offers asynchronous capabilities for efficient request processing. The server focuses on basic functionality, utilizing the fastmcp and mcp libraries for core MCP operations. It's designed for developers who need a simple, customizable MCP server solution, enabling use cases such as prototyping MCP-based applications, testing MCP integrations, or serving as a foundation for more complex MCP implementations.",MINIMAL,1.1,1.3,6.6,-1.98,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4181,14,9,3.5,error_handling,Yes,Yes,,https://aibook.ren; https://github.com/fengin/image-gen-server.git
sdglbl,mcp-claude-code,127,0,"MCP Claude Code enables Claude to directly execute code-related tasks through the Model Context Protocol, providing functionality similar to Claude Code. Developed by SDGLBL, it implements tools for code understanding, modification, command execution, and file operations with proper security controls. The server integrates seamlessly with Claude Desktop, allowing users to analyze codebases, make targeted edits, run commands in various shells, and execute scripts in multiple programming languages. This implementation is particularly valuable for developers seeking AI assistance with code modifications and project management without leaving their conversation interface.",MINIMAL,1.11,1.3,6.4,-1.92,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,4187,8,0,3.5,,Yes,Yes,,
cr7258,elasticsearch-mcp-server,123,0,"This Elasticsearch MCP server implementation provides a standardized interface for interacting with Elasticsearch clusters through natural language. Developed to bridge the gap between large language models and Elasticsearch, it offers tools for index operations, document searching, and cluster management. The server leverages Docker for easy deployment of a 3-node Elasticsearch cluster with Kibana, and integrates seamlessly with Claude Desktop via a simple configuration. It's particularly useful for developers and data analysts who want to explore and manipulate Elasticsearch data using conversational AI, enabling natural language queries for complex search operations and cluster insights without requiring in-depth Elasticsearch expertise.",MINIMAL,1.0,1.3,6.5,-1.95,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,5261,19,5,5.0,error_handling,No,Yes,,
fatwang2,search1api-mcp,123,7300,"This Search1API MCP server, developed by fatwang2, provides an interface for AI assistants to perform web searches, news searches, content extraction, and sitemap retrieval using the Search1API service. It enables AI agents to query Search1API and retrieve structured results through a controlled MCP server. Built in JavaScript, the implementation handles API authentication and request formatting for multiple Search1API endpoints. By leveraging Search1API's capabilities, this server allows AI systems to access real-time web information, news articles, and site structures in a safe manner. It is particularly useful for AI assistants needing to conduct web research, analyze current events, or extract content from websites while maintaining a clear separation between the AI model and external data sources.",MINIMAL,1.43,1.7,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9832,18,13,3.5,,No,Yes,,
motherduckdb,mcp-server-motherduck,123,32313,"This MCP server, developed by tdoehmen at MotherDuck, provides seamless integration with MotherDuck and local DuckDB databases. Built with Python, it offers tools for initializing database connections, retrieving schema information, and executing queries. The implementation stands out by supporting both cloud-based MotherDuck and local DuckDB instances, allowing flexible deployment options. It's particularly useful for data analysts, researchers, and developers who need to incorporate on-demand access to DuckDB-powered databases into their AI-assisted workflows, enabling dynamic querying and analysis of structured data within MCP-compatible environments like Claude Desktop.",MINIMAL,1.67,1.9,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,11000,21,13,5.0,,No,No,,
furey,mongodb-lens,122,0,"MongoDB Lens is an MCP server that provides AI assistants with direct access to MongoDB databases for exploration and analysis. Built with Node.js and the Model Context Protocol SDK, it enables browsing databases and collections, executing queries with filters and projections, running aggregation pipelines, analyzing schemas, managing indexes, and optimizing query performance. The implementation includes specialized tools for inferring collection schemas, explaining query execution plans, and generating recommendations for database optimization, making it valuable for database exploration, performance tuning, and schema design assistance within AI workflows.",MINIMAL,1.07,1.3,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,67134,99,65,5.0,,No,No,,
hyperb1iss,droidmind,121,0,"DroidMind enables AI assistants to control and interact with Android devices through a secure, standardized interface. Built with Python and the Model Context Protocol, it provides tools for device management, app installation, UI automation, file operations, and system diagnostics. The implementation features a robust security layer that prevents dangerous operations, supports both stdio and SSE transport modes, and includes comprehensive test coverage. DroidMind is particularly valuable for developers, testers, and power users who need to debug, analyze, or control Android devices directly through conversational AI without switching to dedicated ADB tools.",MINIMAL,1.07,1.3,7.7,-2.31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9307,23,5,5.0,,No,No,,
blurrah,mcp-graphql,120,0,"This MCP server, developed by an unnamed author, provides a GraphQL interface for AI assistants. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers a tool for querying GraphQL servers. The implementation currently uses a mock schema response for development purposes, but is designed to connect to actual GraphQL endpoints. It abstracts the complexities of GraphQL communication, allowing AI systems to easily interact with GraphQL APIs. This server is particularly useful for applications requiring flexible data querying and manipulation, enabling AI assistants to access and analyze structured data from various GraphQL sources. Its generic design allows it to work with any GraphQL schema, making it versatile for different data-driven use cases.",MINIMAL,1.1,1.3,6.6,-1.98,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3439,15,3,5.0,error_handling,No,No,,
jacksteamdev,obsidian-mcp-tools,120,0,"This Obsidian MCP tools collection, developed by 2XR, provides a set of Model Context Protocol utilities tailored for integration with the Obsidian note-taking application. Built using TypeScript and leveraging modern JavaScript features, it offers a modular structure with workspaces for different tools. The implementation focuses on enhancing Obsidian's capabilities through AI-powered functionalities, potentially including features like intelligent note linking, content generation, or knowledge graph analysis. By bridging Obsidian's powerful note organization system with MCP's standardized AI communication, this toolkit enables users to augment their personal knowledge management workflows with advanced AI assistance. It is particularly suited for researchers, writers, and knowledge workers looking to leverage AI within their existing Obsidian setups for tasks such as information synthesis, idea generation, and content organization.",MINIMAL,1.03,1.3,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8775,24,7,5.0,,No,Yes,,
chroma-core,chroma-mcp,119,23120,"Chroma MCP Server provides vector database integration for LLM applications, enabling AI models to create and manage collections of data with vector search capabilities. Built by Chroma Core, it supports multiple client types (ephemeral, persistent, HTTP, and cloud), offers comprehensive collection management tools, and enables document operations including adding, querying, and retrieving with advanced filtering options. The implementation integrates seamlessly with Claude Desktop through simple configuration options and supports environment variables for flexible deployment, making it ideal for workflows requiring memory capabilities such as knowledge bases and context-aware conversations.",MINIMAL,1.61,1.9,7.1,-2.13,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,7813,13,5,5.0,installation; error_handling,No,Yes,,
fradser,mcp-server-mas-sequential-thinking,119,7630,"Sequential Thinking Multi-Agent System (MAS) implements a coordinated team of specialized AI agents to break down complex problems through structured thinking steps. Built by Frad LEE using the Agno framework and DeepSeek models, this server orchestrates a Team Coordinator, Strategic Planner, Researcher (with Exa search capabilities), Core Analyzer, Quality Controller, and Integration Specialist working in parallel to process thoughts with greater depth than single-agent approaches. The implementation supports revision steps, branching analysis paths, and provides detailed guidance throughout the thinking process, making it particularly valuable for multi-disciplinary problem solving requiring diverse expertise and comprehensive analysis.",MINIMAL,1.43,1.7,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,18589,18,14,3.5,,No,Yes,,
bigcodegen,mcp-neovim-server,118,2415,"This Neovim MCP server, developed by Derek White (bigcodegen), integrates Claude Desktop with Neovim using the Model Context Protocol and the official neovim/node-client library. It leverages Vim's native text editing commands to create a lightweight code assistance layer, allowing AI to interact directly with Neovim sessions. The server connects to a running Nvim instance, providing tools to view and edit buffers, execute Vim commands, and retrieve editor status. By abstracting Neovim's complexities, it enables AI assistants to seamlessly work within the familiar Vim environment. This implementation is particularly useful for developers seeking AI-enhanced coding assistance within their preferred text editor, facilitating tasks such as code review, refactoring, and context-aware suggestions without leaving the Neovim ecosystem.",MINIMAL,1.31,1.5,6.3,-1.89,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4068,10,1,3.5,installation,No,No,,
hellokaton,unsplash-mcp-server,117,0,"Unsplash MCP Server provides AI assistants with access to the Unsplash photo library through a simple search interface. Built with Python using the FastMCP framework, it enables searching for high-quality images by keyword with additional filtering options for color, orientation, and sorting preferences. The implementation authenticates with the Unsplash API using environment variables and returns structured photo data including image URLs, dimensions, and descriptions. This server is particularly useful for workflows requiring visual content integration, allowing AI assistants to find and reference relevant imagery directly within conversations.",MINIMAL,1.1,1.3,6.6,-1.98,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,3525,17,6,5.0,usage; error_handling,No,No,,
timholden,figma-mcp-server,117,0,"This Figma MCP server, developed by TimHolden, provides a robust interface to the Figma API for managing design system elements. Built with TypeScript, it offers comprehensive variable management, file operations, component handling, and collaboration features. The server implements variable validation, batch operations, and support for variable modes and scopes. By abstracting Figma API interactions into a standardized MCP interface, it enables AI systems to easily manipulate and analyze design assets. This implementation is particularly valuable for design teams and developers working with Figma, facilitating use cases such as design system management, automated style updates, and collaborative design workflows across various project scales.",MINIMAL,0.57,1.3,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7371,25,9,5.0,,Yes,No,,
dvcrn,mcp-server-siri-shortcuts,116,879,"This MCP server provides access to Siri shortcuts functionality on macOS, allowing AI assistants to list, open, and run shortcuts from the Shortcuts app. It dynamically generates tools for each available shortcut, exposing all shortcuts to the LLM for flexible automation. The server uses the macOS 'shortcuts' CLI command under the hood and supports both direct text input and file-based input for shortcut execution.",MINIMAL,1.13,1.3,5.8,-1.74,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1909,7,2,3.5,installation; license,No,No,,
burningion,video-editing-mcp,114,19222,"This MCP server, developed by Kirk Kaiser, enables AI-assisted video editing and searching using the Video Jungle API. It provides tools for adding videos, searching video content using embeddings, and generating edits from single or multiple video files. The implementation is built in Python 3.11+ and integrates with libraries like einops, timm, and transformers for advanced video processing capabilities. It's designed for content creators and video editors who want to leverage AI to streamline their workflow, allowing for natural language queries to find relevant video clips and automate editing tasks. The server also includes an optional feature to search local video files on macOS, making it versatile for both cloud-based and local video management.",MINIMAL,1.63,1.9,7.7,-2.31,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6571,14,17,5.0,,No,Yes,,https://app.video-jungle.com/projects/{proj.id; https://api.video-jungle.com/video-file/embedding-search; https://app.video-jungle.com/projects/{project_id
opendatamcp,opendatamcp,113,12369,"OpenDataMCP, developed by the OpenDataMCP organization, connects open datasets to large language models through the Model Context Protocol. It provides a CLI tool for easy setup of MCP servers that expose public data sources, starting with integration for Claude AI. The implementation focuses on simplicity and standardization, using Python with minimal dependencies. OpenDataMCP aims to make millions of open government, NGO, and company datasets accessible to AI applications. It enables use cases like querying transportation data, analyzing public records, or incorporating open statistics into AI-assisted research and analysis tasks. The project is community-driven, allowing contributors to easily add new data sources using provided templates and guidelines.",MINIMAL,1.67,1.9,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9589,32,7,5.0,configuration,No,No,,
ee0pdt,godot-mcp,112,0,"This MCP server implementation provides integration between Godot and the Model Context Protocol, allowing access to the currently open script in the Godot editor. Developed as a TypeScript server with a Godot editor plugin, it enables AI assistants like Claude to interact with Godot scripts, supporting features such as reading current scripts, listing project scripts, and updating script information. The implementation is designed for game developers and AI researchers looking to enhance their Godot development workflow with AI assistance.",MINIMAL,1.09,1.3,7.0,-2.1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,5313,26,7,5.0,,No,No,,
