server_name,server_url,owner,repo,github_stars,download_count,experimental_ai_generated_description,github_stars.1,forks,latest_commit_date,server_github_url
LogSeq,https://www.pulsemcp.com/servers/dailydaniel-logseq,dailydaniel,logseq-mcp,17.0,3946.0,"This MCP server, developed by Daniel Zholkovsky, provides integration with the LogSeq API for knowledge management and note-taking. Built with Python and leveraging libraries like Pydantic and Requests, it offers tools for interacting with LogSeq data and functionality. The implementation focuses on providing a standardized interface for AI agents to access and manipulate LogSeq content programmatically. It's particularly useful for developers and knowledge workers looking to automate LogSeq workflows, enabling use cases such as AI-assisted note-taking, automated knowledge graph analysis, and integration of LogSeq data with other tools and systems.",17,4,2025-04-30T12:30:32Z,https://github.com/dailydaniel/logseq-mcp
Google Cloud Platform,https://www.pulsemcp.com/servers/henihaddad-gcp,henihaddad,gcp-mcp,16.0,1731.0,"GCP MCP Server provides a comprehensive interface for Claude to manage Google Cloud Platform resources through natural language commands. Built with Python, it integrates with numerous GCP APIs including Compute Engine, Storage, IAM, Networking, Kubernetes, and Databases. The implementation handles authentication automatically through browser-based OAuth flow and offers tools for resource creation, monitoring, and management across all major GCP services. When configured in Claude Desktop, it enables users to perform complex cloud operations like creating compute instances, managing storage buckets, checking billing information, and monitoring resources without leaving the conversation interface.",16,0,2025-03-31T08:48:34Z,https://github.com/henihaddad/gcp-mcp
ClickHouse,https://www.pulsemcp.com/servers/thomaub-clickhouse,thomaub,clickhouse_mcp_server,1.0,,"This ClickHouse MCP server, developed by Thomas, enables AI assistants to interact with ClickHouse databases through a standardized interface. Built with Python using libraries like FastMCP and ClickHouse drivers, it provides resources for listing databases and tables, retrieving schemas, and executing SELECT queries. The server abstracts the complexities of ClickHouse's native protocols, allowing AI systems to seamlessly incorporate powerful analytical database capabilities. It's particularly valuable for data analysis, business intelligence, and AI-driven insights on large datasets, facilitating use cases such as real-time analytics, log processing, and complex data exploration within ClickHouse environments.",1,1,2024-12-18T18:34:31Z,https://github.com/thomaub/clickhouse_mcp_server
Kubernetes,https://www.pulsemcp.com/servers/strowk-kubernetes,strowk,mcp-k8s-go,267.0,9972.0,"This Kubernetes MCP implementation, developed by strowk, provides a versatile interface for language models to interact with Kubernetes clusters. It enables AI agents to perform essential Kubernetes operations such as listing contexts, pods, and events, as well as retrieving pod logs across different namespaces and contexts. The implementation distinguishes itself by offering a dual-purpose design - functioning both as an MCP server and a library for building custom Kubernetes resource servers. By leveraging kubeconfig configurations, it ensures seamless integration with existing Kubernetes setups. This tool is particularly powerful for AI-driven Kubernetes management, debugging, and monitoring tasks, enabling more sophisticated AI assistants that can directly interact with and analyze Kubernetes environments. Its integration with Claude Desktop and straightforward installation process make it easily accessible for developers and DevOps professionals working on advanced AI projects involving Kubernetes automation and management.",269,33,2025-04-28T21:29:17Z,https://github.com/strowk/mcp-k8s-go
Rails Explorer,https://www.pulsemcp.com/servers/rails-explorer,maquina-app,rails-mcp-server,106.0,,"Rails MCP Server provides a Ruby implementation that allows LLMs to interact with Rails projects through a standardized protocol. It enables AI models to browse project files, view routes, inspect models, and retrieve database schema information across multiple Rails applications. The server follows the XDG Base Directory Specification for configuration, includes tools for project navigation and codebase exploration, and integrates seamlessly with Claude Desktop through either an automated setup script or manual configuration. Particularly valuable for developers seeking AI assistance with Rails application analysis, understanding, and exploration without leaving their conversation interface.",106,8,2025-05-02T20:07:35Z,https://github.com/maquina-app/rails-mcp-server
Oracle Database,https://www.pulsemcp.com/servers/hdcola-oracle,hdcola,mcp-server-oracle,9.0,,"A Model Context Protocol server that provides AI assistants with direct access to Oracle databases. It exposes three key tools: listing all tables, describing table structures (including columns, data types, and key relationships), and executing read-only SQL queries. The implementation uses Python's oracledb library to handle database connections asynchronously, with connection details securely managed through environment variables. This server enables AI assistants to explore database schemas and retrieve data without requiring direct database access credentials.",9,7,2025-04-30T14:02:49Z,https://github.com/hdcola/mcp-server-oracle
Serper Search,https://www.pulsemcp.com/servers/nighttrek-serper-search,nighttrek,serper-search-mcp,24.0,,"Serper Search MCP is a server implementation that provides AI assistants with powerful web search capabilities through the Serper API. It features two main tools: a standard Google search tool for quick information retrieval and a Deep Research tool that breaks complex queries into focused sub-queries, gathers information from multiple sources, and synthesizes findings into comprehensive responses with citations. Built with TypeScript and following domain-driven design principles, it includes configurable research depth levels, telemetry for quality improvement, and integration with OpenRouter for LLM-powered research orchestration. This implementation is particularly valuable for users who need thorough, well-cited research on complex topics without leaving their AI assistant interface.",24,12,2025-03-21T22:08:17Z,https://github.com/nighttrek/serper-search-mcp
AWS Security Inspector,https://www.pulsemcp.com/servers/groovybugify-aws-security,groovybugify,aws-security-mcp,32.0,,"AWS Security MCP is a server that enables AI assistants to inspect and analyze AWS infrastructure for security issues. Built with Python and boto3, it provides tools for querying security findings from GuardDuty, SecurityHub, and IAM Access Analyzer, examining EC2 instances, analyzing IAM roles and permissions, scanning S3 buckets, and inspecting CloudFront distributions. The implementation supports natural language queries about AWS resources, generates security recommendations, and creates network maps and blast radius analyses, making it valuable for security professionals who need to assess AWS environments without leaving their AI assistant interface.",32,5,2025-04-30T08:00:31Z,https://github.com/groovybugify/aws-security-mcp
Starknet,https://www.pulsemcp.com/servers/milancermak-starknet,milancermak,starknet-mcp,9.0,,"This Starknet MCP server provides a bridge to the Starknet blockchain, enabling AI assistants to interact with Starknet's JSON-RPC API. Developed using TypeScript and the Model Context Protocol SDK, it offers tools for querying blockchain state, retrieving transaction data, and executing contract calls. The implementation focuses on comprehensive coverage of Starknet's RPC methods, making it easier for AI models to perform complex blockchain operations without deep knowledge of Starknet's API intricacies. It's particularly useful for blockchain analytics, smart contract interactions, and automated Starknet-based workflows, enabling AI to efficiently query and analyze Starknet data.",9,1,2025-03-04T11:37:50Z,https://github.com/milancermak/starknet-mcp
Multi-LLM Cross-Check,https://www.pulsemcp.com/servers/lior-ps-multi-llm-cross-check,lior-ps,multi-llm-cross-check-mcp-server,5.0,,"Multi LLM Cross-Check MCP Server provides a unified interface for querying multiple LLM providers simultaneously, allowing users to compare responses side-by-side. Built with Python using FastMCP, this server integrates with Claude Desktop and supports OpenAI, Anthropic, Perplexity AI, and Google Gemini APIs through asynchronous parallel processing. The implementation handles API authentication, request formatting, and error management for each provider, making it particularly valuable for users who want to cross-reference AI responses for fact-checking, gathering diverse perspectives, or evaluating different models' capabilities on the same prompt.",5,0,2025-04-14T16:30:00Z,https://github.com/lior-ps/multi-llm-cross-check-mcp-server
Netskope,https://www.pulsemcp.com/servers/johnneerdael-netskope-private-access,johnneerdael,netskope-mcp,1.0,2088.0,"This Netskope MCP implementation, developed by John Neerdael, provides integration with the Netskope API for managing private access infrastructure. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers tools for publisher lifecycle management, private app configuration, policy creation, and traffic diagnostics. The implementation focuses on simplifying Netskope operations through a standardized MCP interface, with features like caching and retry logic. It's particularly useful for network administrators and security teams needing to automate Netskope NPA tasks, enabling use cases such as infrastructure validation, policy enforcement, and access control management without directly dealing with the complexities of the Netskope API.",1,2,2025-02-21T11:38:32Z,https://github.com/johnneerdael/netskope-mcp
Gmail,https://www.pulsemcp.com/servers/vinayak-mehta-gmail,vinayak-mehta,gmail-mcp,4.0,5161.0,"This MCP server implementation provides a bridge to Gmail, allowing AI assistants to search, retrieve, and interact with email content. Developed by Vinayak Mehta, it offers tools for authenticating with Google's API, executing email searches, and fetching full message content. The server is designed for use cases requiring natural language interactions with email data, such as summarizing inbox contents, finding specific messages, or analyzing communication patterns.",4,1,2025-03-03T18:36:24Z,https://github.com/vinayak-mehta/gmail-mcp
Nextflow Developer Tools,https://www.pulsemcp.com/servers/adamrtalbot-nextflow,adamrtalbot,mcp-nextflow,0.0,,"Nextflow Developer Tools MCP provides a suite of tools for Nextflow development and testing, built with FastMCP. It enables AI assistants to interact with a local Nextflow repository to perform tasks like building from source, running tests (integration, specific, and plugin tests), executing the development version, and managing the development directory. The implementation includes comprehensive logging, error handling, and environment variable configuration, making it particularly valuable for developers working on Nextflow pipelines who want to streamline their workflow without leaving their AI assistant interface.",0,0,2025-03-25T15:24:07Z,https://github.com/adamrtalbot/mcp-nextflow
X Twitter,https://www.pulsemcp.com/servers/rafaljanicki-x-twitter,rafaljanicki,x-twitter-mcp-server,3.0,3352.0,"X-Twitter MCP Server provides a bridge between AI assistants and Twitter's API, enabling comprehensive interaction with the platform. Built by Rafal Janicki using FastMCP and Tweepy, it offers tools for user management (profile retrieval, follower/following lists), tweet operations (posting, deleting, favoriting), timeline access, and search functionality. The server handles Twitter API authentication, implements rate limiting to prevent abuse, and supports both v1.1 and v2 API endpoints. It's particularly valuable for developers who need to integrate Twitter capabilities into conversational AI interfaces without managing the complexities of Twitter's API directly.",3,2,2025-04-29T17:05:53Z,https://github.com/rafaljanicki/x-twitter-mcp-server
Stack Exchange,https://www.pulsemcp.com/servers/jagreetdg-stack-exchange,jagreetdg,re-stack-mcp,1.0,,"Stack Exchange MCP Server provides a bridge between AI assistants and Stack Exchange sites like StackOverflow, enabling search and retrieval of questions, answers, and tags. The server implements caching to reduce API calls, formats content for LLM consumption, and handles rate limiting to stay within Stack Exchange API constraints. It exposes endpoints for searching questions, retrieving question details with answers, listing available Stack Exchange sites, and fetching popular tags, making it valuable for developers seeking programming help or technical information without leaving their AI assistant interface.",1,1,2025-04-02T00:17:57Z,https://github.com/jagreetdg/re-stack-mcp
Think,https://www.pulsemcp.com/servers/technavii-think,technavii,mcp_think,7.0,,"Think MCP provides deep analytical thinking capabilities through OpenAI's o3-mini model, enabling Claude to perform multi-step reasoning on complex problems. The implementation features robust error handling, rate limiting, and security measures to ensure reliable operation. It runs as a stdio transport server that integrates seamlessly with Claude Desktop, making it ideal for users who need to break down intricate concepts, explore competing hypotheses, or maintain multiple variables throughout extended reasoning chains without retrieving external information.",7,1,2025-03-28T11:38:53Z,https://github.com/technavii/mcp_think
Code Analysis,https://www.pulsemcp.com/servers/davidvc-code-analysis,davidvc,code-mcp,11.0,,"This Code Analysis MCP plugin, developed by an unspecified author, enables AI assistants to perform sophisticated code analysis using a Neo4j graph database. Built with Java and leveraging libraries like JavaParser and Neo4j, it offers tools for analyzing code structure, calculating quality metrics, extracting documentation, and answering high-level questions about codebases. The plugin implements advanced metrics calculation and natural language query processing, abstracting the complexities of code parsing and graph database operations. By providing a comprehensive view of code structure and quality, it allows AI systems to generate insights, identify potential issues, and assist in code review processes. This implementation is particularly valuable for software development teams, code reviewers, and architects, facilitating use cases such as architectural analysis, code quality assessment, and automated documentation generation.",11,2,2025-01-17T17:57:22Z,https://github.com/davidvc/code-mcp
Basilisp nREPL,https://www.pulsemcp.com/servers/cat-state-basilisp-nrepl,cat-state,nrepl-mcp,1.0,,"This MCP server provides a bridge between Anthropic's Model Control Protocol and Basilisp's nREPL server, allowing Claude Code to interact directly with a Basilisp REPL environment. It enables execution of Basilisp code (a Lisp dialect similar to Clojure that runs on the Python VM), retrieval of documentation, namespace exploration, and Python interoperability through a set of well-defined tools. The implementation features robust error handling, syntax highlighting for results, and comprehensive documentation to facilitate seamless interaction between AI assistants and Basilisp code execution environments.",1,2,2025-03-07T21:53:06Z,https://github.com/cat-state/nrepl-mcp
YNAB,https://www.pulsemcp.com/servers/calebl-ynab,calebl,ynab-mcp-server,1.0,,"YNAB MCP server provides a bridge between AI assistants and the You Need A Budget (YNAB) personal finance API. Built by Caleb LeNoir, it exposes tools for listing budgets, retrieving detailed budget information including accounts and categories, and creating transactions. This implementation is particularly valuable for users who want to manage their YNAB budgets and track finances directly through conversational AI without switching contexts.",1,3,2025-04-21T15:06:01Z,https://github.com/calebl/ynab-mcp-server
Hugging Face Spaces,https://www.pulsemcp.com/servers/hugging-face-spaces,xiyuefox,mcp-hfspace,0.0,,"MCP-HFSpace provides a bridge between Claude Desktop and Hugging Face Spaces, allowing AI assistants to interact with machine learning models hosted on Hugging Face. Built by Shaun Smith, this Node.js implementation automatically discovers and exposes Gradio endpoints as MCP tools, handling parameter conversion, file uploads, and progress notifications. It supports various output types including text, images, and audio files, with special handling for Claude Desktop compatibility. The server runs locally using stdio transport, making it ideal for workflows requiring access to specialized AI models without leaving the conversation interface.",0,0,2025-01-31T08:51:22Z,https://github.com/xiyuefox/mcp-hfspace
PDF to PNG,https://www.pulsemcp.com/servers/truaxki-pdf-to-png,truaxki,mcp-pdf2png,3.0,,"This PDF to PNG conversion tool, created by Kirk Truax, provides a simple MCP server for converting PDF documents to PNG images. It integrates with the pdf2image library to handle the actual conversion process. The implementation focuses on ease of use, with a single tool call that takes input and output paths as parameters. It's particularly useful for workflows that require visual representations of PDF content, such as document previews, image-based archiving, or preparing PDFs for web display. The server can be easily configured and run using the Claude Desktop application, making it accessible for users who need quick PDF-to-image conversion capabilities without complex setup.",3,2,2025-01-06T21:06:03Z,https://github.com/truaxki/mcp-pdf2png
Jina AI,https://www.pulsemcp.com/servers/joeblockchain-jina-ai,joebuildsstuff,mcp-jina-ai,20.0,6630.0,"This MCP server, developed by joeBlockchain, provides access to Jina AI's web services through Claude. It implements three main tools: web page reading and content extraction, web search, and fact checking/grounding. Built with TypeScript and leveraging the @modelcontextprotocol/sdk, the server offers flexible output formats, image handling options, and structured responses. It's designed for developers and AI assistants who need to incorporate web content retrieval, search capabilities, and fact verification into their workflows, enabling natural language interaction with Jina AI's powerful APIs.",21,6,2025-01-29T05:24:38Z,https://github.com/joebuildsstuff/mcp-jina-ai
Samtools,https://www.pulsemcp.com/servers/sirusb-samtools,sirusb,samtools_mcp,0.0,,"A Python implementation of the Model Context Protocol (MCP) for Samtools, allowing AI assistants to interact with genomic data through SAM/BAM file operations.",0,0,2025-04-06T18:04:13Z,https://github.com/sirusb/samtools_mcp
Vonage Assist,https://www.pulsemcp.com/servers/micahman33-vonage-assist,micahman33,vonageaicodeassist,0.0,,"Vonage Assist is an MCP server that helps developers integrate Vonage API capabilities into their applications by providing AI-assisted access to Vonage documentation. Built with FastMCP, the server performs targeted searches within Vonage's developer documentation using Google Serper API, extracts relevant content from search results, and returns it to the user. The implementation includes a specialized tool called 'Vonage-Assist' that accepts search queries and library parameters, making it easy for AI assistants to find information about Vonage's communication APIs for features like SMS, voice, verification, and video.",0,1,2025-03-18T14:21:08Z,https://github.com/micahman33/vonageaicodeassist
k6 Load Testing,https://www.pulsemcp.com/servers/qainsights-k6-load-testing,qainsights,k6-mcp-server,4.0,,"k6-mcp-server is a Python-based MCP server that enables AI assistants to execute k6 load testing scripts through natural language commands. The implementation provides tools for running performance tests with configurable parameters like duration and virtual user count, handling script validation and execution via subprocess calls to the k6 binary. Developed by QAInsights, it bridges the gap between conversational AI and performance testing workflows, allowing users to initiate and analyze load tests without directly interacting with the command line interface.",4,2,2025-04-06T23:40:07Z,https://github.com/qainsights/k6-mcp-server
Obsidian Tools,https://www.pulsemcp.com/servers/jacksteamdev-obsidian-tools,jacksteamdev,obsidian-mcp-tools,121.0,,"This Obsidian MCP tools collection, developed by 2XR, provides a set of Model Context Protocol utilities tailored for integration with the Obsidian note-taking application. Built using TypeScript and leveraging modern JavaScript features, it offers a modular structure with workspaces for different tools. The implementation focuses on enhancing Obsidian's capabilities through AI-powered functionalities, potentially including features like intelligent note linking, content generation, or knowledge graph analysis. By bridging Obsidian's powerful note organization system with MCP's standardized AI communication, this toolkit enables users to augment their personal knowledge management workflows with advanced AI assistance. It is particularly suited for researchers, writers, and knowledge workers looking to leverage AI within their existing Obsidian setups for tasks such as information synthesis, idea generation, and content organization.",123,15,2025-03-23T23:05:59Z,https://github.com/jacksteamdev/obsidian-mcp-tools
Xueqiu (Chinese Stock Market),https://www.pulsemcp.com/servers/liqiongyu-xueqiu,liqiongyu,xueqiu_mcp,4.0,,"Xueqiu-MCP provides access to Chinese stock market data through the Xueqiu (雪球) financial platform API. Built with Python using the fastmcp framework, it leverages the pysnowball library to retrieve real-time stock quotes, company financials, market news, and investor sentiment data from one of China's largest investment communities. This server enables AI assistants to analyze Chinese equities, track market trends, and access financial information that would otherwise be difficult to obtain through Western financial data sources.",4,3,2025-04-15T13:20:21Z,https://github.com/liqiongyu/xueqiu_mcp
ClickHouse Database,https://www.pulsemcp.com/servers/dubin555-clickhouse,dubin555,clickhouse_mcp_server,6.0,,"ClickHouse MCP Server enables AI assistants to securely interact with ClickHouse databases through a controlled interface. Built by dubin555, it provides tools for listing tables, reading data, and executing SQL queries while implementing security checks to prevent dangerous operations like INSERT, UPDATE, or DELETE. The server connects to ClickHouse using environment variables or command-line arguments, exposes database schema as resources with detailed table and column descriptions, and returns query results in JSON format. This implementation is particularly valuable for data analysis workflows where users need to explore and query ClickHouse databases without risking data modification.",6,2,2025-03-20T11:17:10Z,https://github.com/dubin555/clickhouse_mcp_server
Replicate,https://www.pulsemcp.com/servers/deepfates-replicate,deepfates,mcp-replicate,54.0,,"This Replicate MCP server implementation provides a bridge between the Model Context Protocol and Replicate's AI model hosting platform. Developed as an open-source project, it enables seamless interaction with Replicate's diverse collection of machine learning models through a standardized MCP interface. The server supports key operations such as listing available models, creating and managing predictions, and accessing model metadata. Built with TypeScript and leveraging the official Replicate API, it offers robust error handling, caching mechanisms, and webhook support. This implementation is particularly useful for developers and researchers looking to integrate Replicate's hosted AI models into their MCP-compatible applications, enabling easy access to a wide range of pre-trained models for tasks like image generation, text processing, and more.",55,13,2025-03-06T18:35:51Z,https://github.com/deepfates/mcp-replicate
TapData Database Explorer,https://www.pulsemcp.com/servers/tapdata-database-explorer,tapdata,mcp-tap-server,0.0,,"MCP TapData Server provides a bridge between AI assistants and TapData database connections, enabling inspection of database schemas and execution of CRUD operations through natural language. Developed by Leon Li, this TypeScript implementation uses the Model Context Protocol SDK to expose database connections as resources and provides tools for listing connections, exploring table schemas, and querying data. The server authenticates with TapData using access tokens, translates requests into appropriate API calls, and returns formatted results, making it valuable for users who need to interact with various database systems without leaving their AI assistant interface.",0,1,2025-03-24T02:52:30Z,https://github.com/tapdata/mcp-tap-server
PostgreSQL,https://www.pulsemcp.com/servers/crystaldba-postgres,crystaldba,postgres-mcp,157.0,8010.0,"PostgreSQL MCP is a database tuning and analysis tool that provides real-time insights into PostgreSQL performance. It offers tools for analyzing query execution plans, identifying slow queries, monitoring database health metrics, and recommending index optimizations. The server implements features like hypothetical index testing, transaction health monitoring, and buffer cache analysis, making it valuable for database administrators and developers who need to optimize query performance, troubleshoot bottlenecks, or maintain healthy PostgreSQL databases. Built with Python 3.12 and packaged as a Docker container, it supports both PostgreSQL 15 and 16 with a focus on read-only safety through restricted access modes.",163,12,2025-04-28T15:42:35Z,https://github.com/crystaldba/postgres-mcp
Jira,https://www.pulsemcp.com/servers/parassolanki-jira,parassolanki,jira-mcp-server,2.0,1164.0,"Jira MCP Server provides a bridge between AI assistants and Jira API, enabling interaction with Jira issues and projects directly through the Model Context Protocol. Built by Paras Solanki, this Node.js implementation authenticates with Jira using personal access tokens and exposes endpoints for querying and manipulating Jira data. The server can be run locally or deployed as a Docker container, making it flexible for different integration needs. It's particularly useful for workflows requiring project management tasks like issue tracking, sprint planning, or generating reports without leaving the conversation interface.",2,0,2025-04-09T14:09:31Z,https://github.com/parassolanki/jira-mcp-server
Windows Command Line MCP Server,https://www.pulsemcp.com/servers/alxspiker-windows-command-line,alxspiker,windows-command-line-mcp-server,3.0,,"The Windows Command Line MCP Server provides a robust, secure bridge between AI models and Windows system operations. It allows controlled execution of commands, project creation, and system information retrieval while maintaining strict security protocols.",3,5,2025-04-25T19:19:47Z,https://github.com/alxspiker/windows-command-line-mcp-server
PocketBase,https://www.pulsemcp.com/servers/dynamicendpoints-pocketbase,dynamicendpoints,advanced-pocketbase-mcp-server,37.0,,"This PocketBase MCP server provides a robust interface for AI assistants to interact with PocketBase databases. Built using TypeScript and the PocketBase JavaScript SDK, it offers advanced capabilities for collection management, record operations, user authentication, and database administration. The server abstracts complex PocketBase operations, enabling seamless schema migrations, advanced querying with aggregations, and batch data import/export. It's particularly valuable for developers building AI-powered applications that require flexible, real-time database operations. This implementation excels in scenarios requiring dynamic schema management, sophisticated data querying, and scalable user authentication, making it ideal for rapidly evolving projects in fields like content management, user analytics, and collaborative data platforms.",37,8,2025-04-05T04:51:45Z,https://github.com/dynamicendpoints/advanced-pocketbase-mcp-server
Code Backup,https://www.pulsemcp.com/servers/hexitex-backup,hexitex,mcp-backup-server,4.0,,"MCP Backup Server provides a specialized backup and restoration system for AI agents and code editing tools, preserving both file content and agent context. Developed by Rob McGlade, it creates targeted, timestamped backups with metadata that captures the reasoning behind changes, making it ideal for creating safety checkpoints before risky edits. The server supports individual file and folder operations with pattern filtering, maintains version history, and includes emergency backup capabilities. Unlike Git, it focuses on quick, contextual snapshots rather than comprehensive version control, making it particularly valuable for AI agents making critical code changes in editors like Cursor and Windsurf.",4,2,2025-04-21T09:16:49Z,https://github.com/hexitex/mcp-backup-server
OSRS Wiki,https://www.pulsemcp.com/servers/jayarrowz-osrs-wiki,jayarrowz,mcp-osrs,3.0,549.0,"MCP OSRS Server provides tools for interacting with the Old School RuneScape Wiki API and game data files. Built with TypeScript by JayArrowz, it exposes 19 different tools including wiki search capabilities and specialized methods for querying various game definition files like items, NPCs, locations, and player variables. The server handles both API requests to the OSRS Wiki and local file searches with pagination support, making it valuable for players and developers who need to access structured game information without leaving their AI assistant interface.",3,3,2025-04-28T18:50:08Z,https://github.com/jayarrowz/mcp-osrs
