owner,repo,github_stars,download_count,experimental_ai_generated_description,risk_category,adjusted_risk_score,popularity_score,doc_quality_score,doc_quality_adjustment,readme_found,has_installation_docs,has_usage_docs,has_api_reference,has_security_docs,has_error_handling,has_cli_docs,has_code_examples,has_screenshots,has_license_info,readme_size_bytes,headings_count,code_blocks_count,readability_score,missing_sections,oauth_implementation,direct_api_tokens,main_risk_factors,outbound_connections
pskill9,website-downloader,84,0,"This website downloader MCP server, developed by an unnamed author, provides a tool for downloading entire websites using wget. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers functionality to recursively download web pages, preserve site structure, and convert links for local viewing. The server implements depth control, domain restriction, and file extension handling. By abstracting the complexities of website archiving, it enables AI systems to easily capture and analyze web content offline. This implementation is particularly valuable for applications requiring local copies of websites, facilitating use cases such as web archiving, offline content analysis, and website migration or backup tasks.",MINIMAL,0.81,1.0,6.2,-1.86,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,2048,11,6,5.0,error_handling; license,No,No,,
sirmews,apple-notes-mcp,84,16409,"This Apple Notes MCP server, developed by sirmews, enables access and and search of local Apple Notes databases. It provides tools for retrieving all notes, reading specific notes, and performing searches across note content. Built in Python, the implementation exposes Apple Notes data via a standardized MCP interface, allowing Claude to analyze and interact with personal note collections. By bridging AI models with Apple's native note-taking app, this server enhances Claude's ability to process personal information, assist with note organization, and augment information retrieval from Apple Notes. It is particularly useful for users seeking AI-powered knowledge management and research assistance within their existing Apple Notes ecosystem.",MINIMAL,1.41,1.6,6.3,-1.89,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,3474,15,8,5.0,usage; api_reference,No,No,,
jordyzomer,codeql-mcp,82,0,"CodeQL MCP Server provides a bridge to the CodeQL static analysis engine, enabling AI assistants to analyze codebases for security vulnerabilities and quality issues. The implementation offers tools for registering CodeQL databases, evaluating queries against codebases, decoding query results, and performing quick evaluations of specific classes or predicates. Built with Python using the FastMCP framework, it exposes a simple API that handles the complexities of CodeQL operations while providing structured results that can be easily interpreted by language models. This server is particularly valuable for security researchers and developers who want to leverage AI assistants for code analysis without directly interacting with the CodeQL CLI.",MINIMAL,0.86,1.0,4.8,-1.44,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,1541,7,4,5.0,usage; api_reference; error_handling; license,No,No,,
mhyrr,sketchup-mcp,82,0,"SketchupMCP connects Sketchup to Claude AI through a bidirectional TCP socket connection, enabling AI-assisted 3D modeling and scene manipulation. Built with Python and Ruby, it provides tools for creating, modifying, and transforming components, applying materials, inspecting scenes, and executing Ruby code directly in Sketchup. The implementation includes both a Sketchup extension that creates a TCP server within the application and a Python MCP server that handles the protocol communication, making it ideal for users who want to leverage AI capabilities for architectural design, interior modeling, or general 3D content creation without leaving their conversation interface.",MINIMAL,0.8,1.0,6.8,-2.04,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3790,16,2,3.5,,No,No,,
richardhan,mssql_mcp_server,81,0,"This MCP server implementation, developed by Dana K. Williams, provides secure interaction with Microsoft SQL Server databases. Built with Python and leveraging libraries like mcp and pymssql, it offers a bridge between AI assistants and SQL Server data. The implementation focuses on security, with detailed guidance on creating restricted SQL logins, implementing row-level security, and following best practices for monitoring and auditing. It's particularly useful for organizations needing to integrate SQL Server data into AI workflows while maintaining strict security controls, enabling tasks like data analysis, reporting, and database management through AI interfaces while ensuring data protection and compliance.",MINIMAL,0.78,1.0,7.5,-2.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3154,18,5,5.0,,No,No,,
inditextech,mcp-teams-server,81,0,"MCP Teams Server provides integration with Microsoft Teams, enabling AI assistants to interact with Teams channels through a standardized protocol. Developed by InditexTech, this Python implementation allows reading messages, creating threads, replying to messages, and mentioning team members. The server connects to Teams using Azure bot credentials and exposes functionality through a Docker container or local installation. It's particularly valuable for collaborative workflows where AI assistants need to monitor team communications, post updates to channels, or participate in threaded discussions without requiring users to switch contexts.",MINIMAL,0.78,1.0,7.2,-2.16,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4832,15,8,3.5,error_handling,No,No,,
isaacphi,mcp-gdrive,81,4044,"This Google Drive MCP server, developed by Phil Isaac, enables seamless integration of Google Drive and Sheets functionality into AI-assisted workflows. Built with TypeScript and leveraging the @modelcontextprotocol/sdk, it provides a standardized interface for accessing and manipulating Google Drive files and Sheets data through Claude Desktop and compatible MCP clients. The implementation supports file listing, reading, and writing operations, as well as specialized tools for interacting with Google Sheets. It's particularly useful for developers and businesses looking to incorporate on-demand access to cloud-stored documents and spreadsheets into their AI-assisted applications, allowing for dynamic querying and manipulation of Google Drive content.",MINIMAL,0.99,1.2,6.4,-1.92,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,4876,8,2,3.5,error_handling,Yes,Yes,Found pattern: tracking; Suspicious network connection to datatracker.ietf.org,http://dicom.nema.org/medical/dicom/current/output/html/part18.html#sect_10.6; https://developer.mozilla.org/docs/Web/API/CanvasRenderingContext2D/textBaseline; https://developer.mozilla.org/docs/Web/API/Location/href; https://developer.mozilla.org/docs/Web/API/WebGL2RenderingContext/getTransformFeedbackVarying; https://developer.mozilla.org/docs/Web/API/IDBKeyRange/upperOpen
v-3,notion-server,81,0,"This Notion MCP server, developed by v-3, enables AI assistants to seamlessly interact with Notion workspaces through standardized tools for searching, reading, creating, and updating pages. It provides a simplified interface for complex Notion operations, making it easier for AI systems to manage and retrieve information from Notion databases and pages. The server stands out by offering a streamlined integration between AI capabilities and Notion's collaborative workspace features. It empowers AI assistants to handle tasks like knowledge management, note-taking, project tracking, and content creation within Notion. This implementation is particularly useful for applications that require AI-driven content organization, team collaboration tools, or any scenario where an AI system needs to work with structured data in a Notion workspace.",MINIMAL,0.73,1.0,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4313,24,10,5.0,,No,Yes,,
ozamatash,deep-research-mcp,80,0,"This open-source AI-powered research assistant performs iterative, deep research on any topic by combining search engines, web scraping, and large language models. It is available as a Model Context Protocol (MCP) tool for seamless integration with AI agents. The implementation focuses on simplicity, keeping the codebase under 500 lines of code for easy understanding and extensibility. It features intelligent query generation, depth and breadth control, smart follow-up questions, and comprehensive markdown reports. The tool is designed for efficient concurrent processing and can be used standalone or integrated into larger AI systems for in-depth, multi-level research tasks.",MINIMAL,0.71,1.0,7.1,-2.13,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3655,12,8,5.0,error_handling,No,Yes,,
sammcj,mcp-package-version,80,12290,"This MCP server, developed by sammcj, provides AI assistants with up-to-date package version information for npm and PyPI registries. Built with TypeScript, it offers tools to check latest stable versions for individual packages or bulk queries across both ecosystems. The implementation stands out by integrating directly with public registries and providing flexible version range options for different use cases. By connecting AI capabilities with real-time package data, this server enables AI systems to recommend and use current, compatible dependencies when writing or reviewing code. It is particularly useful for maintaining project dependencies, ensuring security compliance, and automating dependency updates in software development workflows.",MINIMAL,1.39,1.6,7.0,-2.1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,9349,23,21,5.0,error_handling,No,No,,
delano,postman-mcp-server,79,0,"This Postman MCP server, developed by Delano, provides AI assistants with programmatic access to Postman's API management platform. It integrates with the Postman API to enable functionalities like managing collections, environments, and APIs. The server is built with TypeScript and leverages the @modelcontextprotocol/sdk for MCP implementation. By abstracting Postman interactions, it allows AI systems to automate API testing, documentation, and workflow management. This implementation is particularly useful for developers, QA engineers, and API designers who want to leverage AI capabilities for API lifecycle management, automated testing, and collaborative API development workflows.",MEDIUM,-0.07,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10518,29,10,5.0,,Yes,Yes,Found pattern: send.*data; Found pattern: collect.*data; Suspicious domain: datatracker.ietf.org; Potential data exfiltration: send.*data,https://support.postman.com/; https://learning.postman.com/docs/collaborating-in-postman/using-workspaces/partner-workspaces/; https://learning.postman.com/docs/api-governance/api-definition/api-definition-warnings/; https://learning.postman.com/docs/collaborating-in-postman/roles-and-permissions/#collection-roles; https://learning.postman.com/docs/collaborating-in-postman/using-version-control/reviewing-pull-requests/
egoist,ffmpeg-mcp,78,1133,"ffmpeg-mcp is a stdio MCP server that provides a standardized interface for common media operations using FFmpeg. Developed by egoist and sponsored by ChatWise, this implementation allows AI assistants to perform video and audio processing tasks like speeding up videos and extracting audio from video files. The server acts as a bridge between natural language commands and FFmpeg's command-line interface, making media manipulation accessible through simple tool calls without requiring users to understand complex FFmpeg syntax.",MINIMAL,1.07,1.2,4.2,-1.26,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,623,4,2,3.5,api_reference; error_handling; project_info,No,No,,
sparfenyuk,mcp-telegram,78,0,"This MCP implementation for Telegram, developed by Sergey Parfenyuk, provides a server interface to interact with Telegram through the MTProto protocol. Built with Python and leveraging libraries like Telethon and Pydantic, it offers tools for listing dialogs and messages. The implementation focuses on providing a standardized way to access Telegram functionality through MCP, making it easier to integrate Telegram capabilities into AI workflows. It's particularly useful for developers and researchers looking to incorporate Telegram messaging and data retrieval into their AI-assisted applications, enabling tasks like automated message analysis, chatbot integration, or social media monitoring.",MINIMAL,0.79,1.0,7.0,-2.1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6800,19,9,5.0,usage,No,No,,
utensils,mcp-nixos,78,8592,"MCP-NixOS provides a server for interacting with NixOS packages, system options, Home Manager configuration, and nix-darwin macOS configuration through standardized URL schemes. Developed by James Brink, this Python implementation features multi-level caching with filesystem persistence, detailed documentation integration, and support for advanced search capabilities including hierarchical paths and version filtering. The architecture separates concerns into cache, clients, contexts, resources, and tools components, making it ideal for developers seeking programmatic access to Nix ecosystem configuration options and package information through AI assistants.",MINIMAL,0.67,1.4,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,14163,44,9,5.0,,Yes,No,,https://nix-community.github.io/home-manager/nix-darwin-options.xhtml; https://example.com/other; https://example.com/test/{i; https://example.com/test; https://nix-community.github.io/home-manager/options.xhtml
weidwonder,crawl4ai-mcp-server,78,0,"This MCP server, developed by WeiDwonder, provides integration with Google Custom Search Engine for web crawling and search capabilities. Built with Python and leveraging libraries like Playwright and BeautifulSoup, it offers tools for automated web scraping, content extraction, and search result parsing. The implementation focuses on providing a standardized interface for AI-powered web crawling, enabling use cases such as data collection, content aggregation, and search engine development. By connecting AI models with Google's search infrastructure, this server allows for sophisticated web crawling scenarios, enhancing the ability to gather and analyze online information at scale.",MINIMAL,0.67,1.0,5.8,-1.74,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3578,21,12,3.5,error_handling; project_info,No,Yes,,
illuminaresolutions,n8n-mcp-server,77,1771,"n8n MCP Server provides a bridge between Claude and n8n automation workflows through the Model Context Protocol. Developed by Illuminare Solutions, it enables AI assistants to list, create, update, and execute n8n workflows directly within conversations, along with managing credentials, tags, executions, and generating security audits. The implementation supports both core features available to all n8n users and Enterprise-specific capabilities like project and variable management, making it particularly valuable for teams who want to integrate their automation workflows with AI assistants without switching contexts.",MINIMAL,0.99,1.2,7.1,-2.13,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3972,19,8,5.0,usage,Yes,Yes,,
integromat,make-mcp-server,77,4106,"Make MCP Server enables AI assistants to trigger and interact with Make automation workflows through the Model Context Protocol. Developed by Make, it connects to your Make account to identify on-demand scenarios, parse input parameters, allow AI assistants to invoke scenarios with appropriate parameters, and return structured JSON output. The server runs as a Node.js application that can be installed via npm or run in a Docker container, requiring a Make API key with scenarios:read and scenarios:run scopes. This implementation is particularly valuable for maintaining complex automation logic in Make while exposing functionality to AI systems, creating bidirectional communication between assistants and existing workflows.",MINIMAL,0.88,1.2,5.9,-1.77,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1994,6,1,5.0,error_handling; license,No,Yes,,
emzimmer,server-wp-mcp,76,1533,"This WordPress MCP server, developed by mzimmer, enables AI assistants to interact securely with WordPress sites through a standardized interface. Built with Node.js and leveraging the Model Context Protocol SDK, it provides a bridge to WordPress REST API endpoints, handling authentication and site discovery. The server implements environment-based configuration, allowing for flexible deployment across different WordPress installations. By abstracting the complexities of WordPress APIs, it enables AI systems to easily manage content, users, and site settings. This implementation is particularly valuable for applications requiring programmatic WordPress management, facilitating use cases such as automated content publishing, user administration, and site maintenance tasks.",MINIMAL,0.97,1.2,7.5,-2.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6001,24,27,3.5,,No,No,,
ivo-toby,mcp-openapi-server,76,0,"This OpenAPI MCP server, developed by Ivo Toby, enables AI assistants to interact with REST APIs defined by OpenAPI specifications. It integrates with the Model Context Protocol SDK to expose OpenAPI endpoints as MCP resources, allowing AI systems to discover and utilize a wide range of web services. Built with TypeScript and leveraging esbuild for bundling, it implements automatic resource generation from OpenAPI specs and handles authentication through configurable headers. The server is designed for flexibility, supporting various API configurations through environment variables or command-line arguments. It's particularly useful for developers and AI researchers looking to incorporate diverse API functionalities into their AI assistants, enabling use cases like data retrieval, third-party service integration, and dynamic API exploration.",MINIMAL,0.79,1.0,7.1,-2.13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3168,13,5,5.0,,No,No,,
lamaalrajih,kicad-mcp,76,0,"KiCad MCP Server enables Claude to interact with KiCad electronic design automation projects, providing tools for PCB design analysis, validation, and visualization. The server offers Design Rule Check (DRC) capabilities with history tracking, PCB thumbnail generation, schematic analysis, and project management functions. Built to support macOS, Windows, and Linux, it integrates directly with KiCad's command-line tools and Python modules when available, falling back to alternative methods when needed. This implementation is particularly valuable for electronics designers seeking AI assistance with troubleshooting design rule violations, understanding PCB layouts, and preparing designs for manufacturing without leaving their Claude conversation.",MINIMAL,0.77,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,11511,31,10,5.0,,No,No,,
revit-mcp,revit-mcp,76,0,"Revit-MCP is a Node.js server implementation that enables AI assistants to interact with Autodesk Revit models through the Model Context Protocol. It provides tools for creating, deleting, and modifying Revit objects, with specific functionality for wall creation and object deletion. The server uses a stdio transport layer for communication and implements a tool registration system that allows for extensible Revit model manipulation capabilities, making it particularly valuable for architectural design workflows and BIM (Building Information Modeling) processes.",MINIMAL,0.82,1.0,6.0,-1.8,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,3556,9,4,5.0,usage; error_handling; license,No,No,,
mamertofabian,elevenlabs-mcp-server,76,0,"This ElevenLabs MCP server, developed by an unknown author, provides AI assistants with text-to-speech capabilities using the ElevenLabs API. Built with Python and leveraging libraries like pydub and requests, it offers a streamlined interface for generating audio from text using multiple voices and customizable speech parameters. The server implements features such as multi-part script handling, voice selection, and output file management. By abstracting the complexities of API communication and audio processing, it allows AI systems to easily incorporate high-quality speech synthesis into their workflows. This implementation is particularly valuable for applications in content creation, accessibility, and voice-driven interfaces, enabling use cases such as audiobook production, voice-over generation, and dynamic text-to-speech conversion.",MINIMAL,0.7,1.0,6.7,-2.01,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3567,10,7,5.0,error_handling,No,Yes,,https://api.elevenlabs.io/v1
meilisearch,meilisearch-mcp,76,0,"This MCP server for Meilisearch, developed by the Meilisearch team, provides a standardized interface for interacting with Meilisearch's powerful search capabilities. Built with Python and leveraging the official Meilisearch Python client, it offers tools for indexing, searching, and managing documents within Meilisearch instances. The server implements the Model Context Protocol, enabling AI systems to easily perform search operations and retrieve results. By abstracting Meilisearch's API complexities, it allows for seamless integration of advanced search functionality into AI-powered applications. This implementation is particularly valuable for use cases requiring fast, typo-tolerant, and customizable search experiences, such as e-commerce platforms, content management systems, or data exploration tools.",MINIMAL,0.7,1.0,6.7,-2.01,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,5274,24,7,2.0,error_handling,No,Yes,,
mladensu,cli-mcp-server,75,20880,"This MCP server, developed by MladenSU, provides secure command-line execution with configurable security policies. It implements strict command whitelisting, path validation, and execution controls to enable controlled CLI access for AI applications while maintaining security. The server exposes tools for executing whitelisted commands and displaying security rules. By combining customizable restrictions with detailed error reporting, this implementation facilitates safe integration of command-line capabilities into AI workflows. It is particularly useful for scenarios requiring limited shell access, such as allowing an AI assistant to perform basic file operations or run specific utilities in a constrained environment.",MINIMAL,1.37,1.6,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7200,17,8,5.0,,No,No,,
ivanmurzak,unity-mcp,74,0,"Unity-MCP is a template for creating Unity packages that implement the Model Context Protocol. It provides a structured project setup with automated workflows for testing across multiple Unity versions, deployment scripts for npm and GitHub, and utility commands for package management. The template includes SignalR client integration for real-time communication and follows best practices for Unity package development with comprehensive GitHub Actions CI/CD support.",MINIMAL,0.78,1.0,7.4,-2.22,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,8710,21,3,3.5,,No,No,,
ihor-sokoliuk,mcp-searxng,73,0,"This SearXNG MCP server, developed by Ihor Sokoliuk, integrates the SearXNG API to provide web search capabilities for AI assistants. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers a tool for executing web searches with pagination control. The server implements error handling, environment variable configuration for SearXNG instance URLs, and result formatting. By abstracting the complexities of API communication and search result parsing, it enables AI systems to easily access and analyze web content. This implementation is particularly valuable for applications requiring up-to-date information retrieval, enabling use cases such as research assistance, fact-checking, and content aggregation across various topics and domains.",MINIMAL,0.8,1.0,6.5,-1.95,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,3980,14,8,5.0,error_handling,No,No,,
ravinahp,flights-mcp,73,0,"This flight search MCP server, developed by Ravina Patel, integrates with the Duffel API to provide flight search capabilities. Built with Python and leveraging libraries like httpx and pydantic, it offers a streamlined interface for querying flight information. The implementation focuses on simplicity and ease of use, making it accessible for AI assistants or applications needing to access flight data programmatically. It's particularly useful for tasks like travel planning, fare comparison, or building travel-related chatbots, enabling quick access to flight information without requiring deep knowledge of the underlying API complexities.",MINIMAL,0.73,1.0,7.6,-2.28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9802,32,10,3.5,,No,Yes,,
run-llama,mcp-server-llamacloud,73,0,"This MCP server, developed by run-llama, provides seamless integration between AI assistants and LlamaCloud's managed vector index service. Built for use with Claude Desktop, it offers a tool for retrieving information from a knowledge base using natural language queries. The server leverages LlamaCloud's API to perform efficient vector searches on managed indexes, enabling AI models to access and utilize custom knowledge bases. By bridging AI capabilities with LlamaCloud's scalable vector storage, this implementation enhances information retrieval and knowledge augmentation for AI assistants. It is particularly useful for scenarios requiring domain-specific knowledge integration, semantic search capabilities, and scalable information access in AI-powered applications.",MINIMAL,0.69,1.0,6.4,-1.92,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,2569,7,6,5.0,license,No,Yes,,
strangelove-ventures,web3-mcp,73,0,"This MCP server, developed by Alex Cheng, provides a unified interface for interacting with multiple blockchains, including Solana and Ethereum. Built with TypeScript and leveraging the Model Context Protocol SDK, it offers tools for common blockchain operations such as checking balances, transferring tokens, and retrieving account information. The implementation focuses on simplifying blockchain interactions through standardized RPC endpoints, making it particularly useful for AI assistants and applications that require cross-chain functionality without deep blockchain expertise. By connecting to Solana's mainnet and supporting Ethereum operations, this server enables use cases ranging from basic account queries to more complex token transfers across different blockchain ecosystems.",MINIMAL,0.73,1.0,7.8,-2.34,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,13924,45,6,5.0,,No,Yes,,
